0,0,0,0,0,0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,0,-0,-0
0,0,-0,1,-0,-0
1,1,-0,1,-1,-1
1,1,-0,1,-1,-1
1,1,-1,1,-1,-1
1,1,-1,1,-1,-1
1,1,-1,2,-1,-1
2,1,-1,2,-2,-1
2,2,-1,2,-2,-2
2,2,-1,3,-2,-2
3,2,-2,3,-3,-2
3,3,-2,3,-3,-3
4,3,-2,4,-4,-3
4,3,-2,4,-4,-3
4,4,-3,5,-4,-4
5,4,-3,5,-5,-4
6,5,-3,6,-6,-5
6,5,-4,7,-6,-5
7,6,-4,7,-7,-6
7,6,-4,8,-7,-6
8,7,-5,9,-8,-7
9,7,-5,10,-9,-8
9,8,-5,10,-9,-8
10,9,-6,11,-10,-9
11,9,-6,12,-11,-10
12,10,-7,13,-12,-10
13,11,-7,14,-13,-11
13,11,-8,15,-13,-12
14,12,-8,16,-14,-12
15,13,-9,17,-15,-13
16,13,-9,17,-16,-14
17,14,-10,18,-17,-15
18,15,-10,19,-18,-16
19,16,-11,20,-19,-16
20,17,-11,22,-20,-17
21,17,-12,23,-21,-18
22,18,-12,24,-22,-19
23,19,-13,25,-23,-20
24,20,-14,26,-24,-21
25,21,-14,27,-25,-22
26,22,-15,28,-26,-22
27,22,-15,29,-27,-23
28,23,-16,30,-28,-24
29,24,-16,31,-29,-25
30,25,-17,32,-30,-26
31,26,-18,33,-31,-27
32,26,-18,34,-32,-28
33,27,-19,35,-33,-28
34,28,-19,36,-33,-29
34,29,-20,37,-34,-30
35,30,-20,38,-35,-31
36,30,-21,39,-36,-32
37,31,-21,40,-37,-32
38,32,-22,41,-38,-33
39,33,-22,42,-39,-34
40,33,-23,43,-40,-35
41,34,-23,44,-41,-35
41,35,-24,45,-41,-36
42,35,-24,46,-42,-37
43,36,-25,47,-43,-37
44,37,-25,47,-44,-38
44,37,-25,48,-44,-39
45,38,-26,49,-45,-39
46,38,-26,50,-46,-40
46,39,-26,50,-46,-40
47,39,-27,51,-47,-41
47,40,-27,51,-47,-41
48,40,-27,52,-48,-42
48,41,-28,53,-48,-42
49,41,-28,53,-49,-43
49,41,-28,54,-49,-43
50,42,-28,54,-50,-43
50,42,-29,54,-50,-44
50,42,-29,55,-50,-44
51,42,-29,55,-51,-44
51,43,-29,55,-51,-44
51,43,-29,56,-51,-45
51,43,-29,56,-51,-45
52,43,-30,56,-52,-45
52,43,-30,56,-52,-45
52,43,-30,56,-52,-45
52,44,-30,57,-52,-45
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-46
52,44,-30,57,-52,-45
52,43,-30,56,-52,-45
52,43,-30,56,-51,-45
52,43,-30,56,-51,-45
51,43,-30,56,-51,-45
51,43,-30,56,-50,-45
51,42,-30,56,-50,-45
51,42,-30,55,-50,-44
50,42,-30,55,-49,-44
50,41,-30,55,-49,-44
49,41,-30,54,-48,-44
49,41,-30,54,-47,-43
48,40,-30,54,-47,-43
48,40,-30,53,-46,-43
47,39,-30,53,-45,-42
47,39,-30,52,-44,-42
46,38,-30,52,-43,-41
46,37,-30,51,-43,-41
45,37,-30,51,-42,-40
44,36,-30,50,-41,-40
43,35,-30,49,-40,-39
43,35,-30,49,-38,-39
42,34,-30,48,-37,-38
41,33,-30,47,-36,-38
40,32,-30,47,-35,-37
39,31,-30,46,-34,-36
38,31,-30,45,-32,-36
37,30,-30,44,-31,-35
36,29,-30,44,-30,-34
36,28,-30,43,-28,-34
35,27,-30,42,-27,-33
33,26,-30,41,-25,-32
32,25,-30,40,-24,-31
31,24,-30,39,-22,-31
30,23,-30,39,-21,-30
29,22,-30,38,-19,-29
28,21,-30,37,-18,-28
27,20,-30,36,-16,-28
26,19,-30,35,-15,-27
25,18,-30,34,-13,-26
24,17,-30,33,-11,-25
23,16,-30,32,-10,-25
22,15,-30,31,-8,-24
20,14,-30,30,-7,-23
19,13,-30,29,-5,-22
18,12,-30,29,-4,-21
17,11,-30,28,-2,-21
16,10,-30,27,-1,-20
15,9,-30,26,1,-19
14,8,-30,25,2,-18
13,7,-30,24,4,-18
12,6,-30,23,5,-17
11,5,-30,22,7,-16
10,4,-30,22,8,-15
9,3,-30,21,10,-15
8,2,-30,20,11,-14
7,1,-30,19,12,-13
6,0,-30,19,13,-13
5,-1,-30,18,15,-12
5,-1,-30,17,16,-12
4,-2,-30,16,17,-11
3,-3,-30,16,18,-10
2,-4,-30,15,19,-10
2,-4,-30,15,20,-9
1,-5,-30,14,21,-9
0,-5,-30,14,22,-8
-0,-6,-30,13,23,-8
-1,-7,-30,13,24,-8
-1,-7,-30,12,25,-7
-2,-8,-30,12,25,-7
-2,-8,-30,11,26,-7
-3,-8,-30,11,27,-6
-3,-9,-30,11,27,-6
-4,-9,-30,10,28,-6
-4,-10,-30,10,28,-5
-4,-10,-30,10,29,-5
-5,-10,-30,9,29,-5
-5,-10,-30,9,29,-5
-5,-11,-30,9,30,-5
-5,-11,-30,9,30,-5
-5,-11,-30,9,30,-4
-6,-11,-30,9,30,-4
-6,-11,-30,9,31,-4
-6,-11,-30,9,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,8,31,-4
-6,-11,-30,9,31,-4
-6,-11,-30,9,31,-4
-6,-11,-30,9,31,-4
-6,-11,-30,9,31,-5
-6,-11,-30,9,31,-5
-7,-11,-30,9,31,-5
-7,-11,-30,9,31,-5
-7,-10,-30,9,31,-5
-7,-10,-30,10,32,-6
-7,-10,-30,10,32,-6
-8,-10,-30,10,32,-6
-8,-9,-30,11,32,-7
-8,-9,-30,11,32,-7
-9,-9,-30,11,32,-7
-9,-8,-30,12,32,-8
-9,-8,-30,12,33,-8
-10,-7,-30,13,33,-9
-10,-7,-30,13,33,-9
-11,-6,-30,14,33,-10
-11,-6,-30,14,33,-11
-12,-5,-30,15,34,-11
-12,-5,-30,15,34,-12
-13,-4,-30,16,34,-13
-13,-4,-30,17,34,-13
-14,-3,-30,17,35,-14
-15,-2,-30,18,35,-15
-15,-2,-30,19,35,-16
-16,-1,-30,19,36,-17
-17,-0,-30,20,36,-18
-17,1,-30,21,36,-18
-18,1,-30,22,37,-19
-19,2,-30,23,37,-20
-20,3,-30,24,37,-21
-21,4,-30,24,38,-22
-21,4,-30,25,38,-23
-22,5,-30,26,38,-24
-23,6,-30,27,39,-25
-24,7,-30,28,39,-26
-25,8,-30,29,40,-27
-25,9,-30,30,40,-28
-26,10,-30,31,40,-29
-27,10,-30,32,41,-30
-28,11,-30,33,41,-32
-29,12,-30,34,42,-33
-30,13,-30,34,42,-34
-31,14,-30,35,42,-35
-31,15,-30,36,43,-36
-32,16,-30,37,43,-37
-33,17,-30,38,43,-38
-34,17,-30,39,44,-39
-35,18,-30,40,44,-40
-35,19,-30,41,45,-41
-36,20,-30,42,45,-42
-37,21,-30,43,45,-43
